sample_id,crop_name,disease_name,pathogen_type,severity_grade,affected_leaf_area_pct,leaf_spot_count,chlorosis_index,ai_confidence_pct,urgency_level,recommended_treatment
IMG-2026-0001,Tulsi,Cercospora Leaf Spot,fungal,Mild,20.13,85,0.46,89.56,Low,Organic Neem Leaf Extract
IMG-2026-0002,Tomato,Late Blight,fungal,Severe,61.4,154,0.36,92.73,Critical,Copper Oxychloride
IMG-2026-0003,Tomato,Early Blight,fungal,Mild,18.84,74,0.63,88.3,High,Mancozeb 75% WP
IMG-2026-0004,Wheat,Leaf Rust,fungal,Severe,64.27,154,0.57,93.03,High,Propiconazole 25% EC
IMG-2026-0005,Rose,Powdery Mildew,fungal,Severe,71.09,16,0.79,89.79,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0006,Citrus,Bacterial Canker,bacterial,Moderate,36.84,54,0.44,96.55,Critical,Streptomycin Sulfate + Copper
IMG-2026-0007,Tomato,Late Blight,fungal,Mild,18.77,39,0.53,91.85,Critical,Copper Oxychloride
IMG-2026-0008,Rose,Powdery Mildew,fungal,Severe,70.92,132,0.65,98.9,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0009,Citrus,Bacterial Canker,bacterial,Mild,17.75,90,0.84,94.93,Critical,Streptomycin Sulfate + Copper
IMG-2026-0010,Sugarcane,Red Rot,fungal,Moderate,38.4,64,0.76,88.51,Critical,Carbendazim 50% WP
IMG-2026-0011,Wheat,Leaf Rust,fungal,Severe,68.43,35,0.86,97.7,High,Propiconazole 25% EC
IMG-2026-0012,Citrus,Bacterial Canker,bacterial,Moderate,32.29,177,0.84,89.82,Critical,Streptomycin Sulfate + Copper
IMG-2026-0013,Monstera,Spider Mites,pest,Moderate,27.29,83,0.76,95.66,Medium,Abamectin / Insecticidal Soap
IMG-2026-0014,Tomato,Late Blight,fungal,Severe,56.47,58,0.65,90.74,Critical,Copper Oxychloride
IMG-2026-0015,Rice,Bacterial Leaf Blight,bacterial,Moderate,39.7,178,0.75,90.46,High,Copper Hydroxide
IMG-2026-0016,Monstera,Spider Mites,pest,Severe,73.53,29,0.45,88.36,Medium,Abamectin / Insecticidal Soap
IMG-2026-0017,Monstera,Spider Mites,pest,Moderate,41.29,31,0.44,98.56,Medium,Abamectin / Insecticidal Soap
IMG-2026-0018,Plant,Healthy Leaf,none,Healthy,1.08,0,0.13,97.81,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0019,Plant,Healthy Leaf,none,Healthy,0.96,0,0.05,97.31,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0020,Apple,Apple Scab,fungal,Severe,51.35,164,0.58,94.54,Medium,Captan 50% WP
IMG-2026-0021,Monstera,Spider Mites,pest,Moderate,28.01,50,0.63,89.02,Medium,Abamectin / Insecticidal Soap
IMG-2026-0022,Tomato,Early Blight,fungal,Severe,74.86,54,0.71,96.87,High,Mancozeb 75% WP
IMG-2026-0023,Citrus,Bacterial Canker,bacterial,Severe,55.54,113,0.55,99.16,Critical,Streptomycin Sulfate + Copper
IMG-2026-0024,Apple,Apple Scab,fungal,Moderate,30.35,156,0.86,88.13,Medium,Captan 50% WP
IMG-2026-0025,Corn,Northern Leaf Blight,fungal,Mild,20.36,152,0.79,96.61,High,Azoxystrobin
IMG-2026-0026,Monstera,Spider Mites,pest,Mild,20.14,126,0.4,88.04,Medium,Abamectin / Insecticidal Soap
IMG-2026-0027,Corn,Northern Leaf Blight,fungal,Severe,75.94,82,0.93,96.53,High,Azoxystrobin
IMG-2026-0028,Apple,Apple Scab,fungal,Severe,78.62,175,0.49,95.16,Medium,Captan 50% WP
IMG-2026-0029,Grape,Black Rot,fungal,Moderate,26.52,110,0.8,94.04,High,Myclobutanil
IMG-2026-0030,Cotton,Bacterial Blight,bacterial,Severe,79.34,15,0.69,93.47,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0031,Tomato,Late Blight,fungal,Severe,79.82,93,0.46,90.7,Critical,Copper Oxychloride
IMG-2026-0032,Grape,Black Rot,fungal,Severe,81.13,36,0.78,97.14,High,Myclobutanil
IMG-2026-0033,Cotton,Bacterial Blight,bacterial,Severe,50.89,47,0.38,93.32,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0034,Apple,Apple Scab,fungal,Mild,24.05,150,0.87,92.74,Medium,Captan 50% WP
IMG-2026-0035,Wheat,Leaf Rust,fungal,Severe,79.81,66,0.76,92.47,High,Propiconazole 25% EC
IMG-2026-0036,Tulsi,Cercospora Leaf Spot,fungal,Severe,59.44,127,0.88,93.06,Low,Organic Neem Leaf Extract
IMG-2026-0037,Wheat,Leaf Rust,fungal,Moderate,28.4,101,0.31,94.2,High,Propiconazole 25% EC
IMG-2026-0038,Grape,Black Rot,fungal,Moderate,28.08,33,0.76,88.66,High,Myclobutanil
IMG-2026-0039,Tomato,Late Blight,fungal,Severe,78.1,99,0.35,90.67,Critical,Copper Oxychloride
